,Date,Study,Study Link,Journal,Study Type,Therapeutic method(s) utilized/assessed,Sample Size,Severity of Disease,General Outcome/Conclusion Excerpt,Primary Endpoint(s) of Study,Clinical Improvement (Y/N),Added On
0,2020-05-23,"Enhanced platelet inhibition treatment improves hypoxemia in patients with severe Covid-19 and hypercoagulability. A case control, proof of concept study",https://doi.org/10.1016/j.phrs.2020.104950,Pharmacological Research,Cross-sectional study,"25μg/Kg/bodyweight tiroﬁban as bolus infusion, followed by a continuous infusion of 0.15μg/Kg/body weight per minute for 48 hours. Before tiroﬁban, patients received acetylsalicylic acid 250 mg infusion and oral clopidogrel 300 mg; both were continued at a dose of 75 mg daily for 30 days. Fondaparinux2.5 mg/day sub-cutaneous was given for the duration of the hospital stay. All controls were receiving prophylactic or therapeutic dose heparin, according to local standard operating procedures.",10,"patients with laboratory conﬁrmed SARS-CoV-2 infection, severe respiratory failure requiring helmet continuous positive airway pressure (CPAP), bilateral pulmonary inﬁltrates and a prothrombotic state identiﬁed as a D-dimer>3 times the upper limit of normal. Five patients matched for age, Ddimer value and SOFA score formed the control group.","Treated patients consistently experienced a mean (SD) reduction in A-a O2 gradient of -32.6 mmHg (61.9, P = 0.154), -52.4 mmHg (59.4, P = 0.016) and -151.1 mmHg (56.6, P = 0.011; P = 0.047 vs. controls) at 24, 48 hours and 7 days after treatment. PaO2/FiO2 ratio increased by 52 mmHg (50, P = 0.172), 64 mmHg (47, P = 0.040) and 112 mmHg (51, P = 0.036) after 24, 48 hours and 7 days, respectively. All patients but one were successfully weaned from CPAP after 3 days.","Co-primary exploratory outcomes were the change in PaO2, PaO2/ FiO2 ratio and alveolar-arterial oxygen (A-a O2) gradient after 24, 48 and 168 hours (7 days) after ﬁrst study drug administration.",Y,6/2/2020
1,2020-05-12,Nifedipine and Amlodipine Are Associated With Improved Mortality and Decreased Risk for Intubation and Mechanical Ventilation in Elderly Patients Hospitalized for COVID-19,https://pubmed.ncbi.nlm.nih.gov/32411566/,Cureus,retrospective review,Nifedipine and Amlodipine,77,at or above the age of 65 and that expired or survived to discharge from a community hospital,Patients treated with a CCB were significantly more likely to survive than those not treated with a CCB: 12 (50%) survived and 12 expired in the CCB group vs. six (14.6%) that survived and 35 (85.4%) that expired in the No-CCB treatment group (P<.01; p=0.0036). CCB patients were also significantly less likely to undergo intubation and mechanical ventilation. Only one patient (4.2%) was intubated in the CCB group whereas 16 (39.0%) were intubated in the No-CCB treatment group (P<.01; p=0.0026). Nifedipine and amlodipine were found to be associated with significantly improved mortality and a decreased risk for intubation and mechanical ventilation in elderly patients hospitalized with COVID-19.,survival to discharge and progression of disease leading to intubation and mechanical ventilation,-,5/23/2020
2,2020-05-05,Pulmonary intravascular coagulation in COVID-19: possible pathogenesis and recommendations on anticoagulant/thrombolytic therapy,https://doi.org/10.1007/s11239-020-02129-0,Journal of Thrombosis and Thrombolysis,Expert review,Low molecular weight heparin;  Tissue Plasminogen Activator (TPA) or defbrotide,-,-,"LMWH at prophylactic doses should be administered to all symptomatic patients with microbiologically or radiologically documented COVID19 diagnosis and escalated to therapeutic doses in case of respiratory distress. In case LMWH is insufcient of preventing further activation of PIC and the thromboses extend to pulmonary veins, The treatment option at this step should be Tissue Plasminogen Activator (TPA) or defbrotide. These two fbrinolytic modalities can prevent intubation and progression to disseminated intravascular coagulation.",-,-,5/12/2020
3,2020-04-29,Acute limb ischemia in patients with COVID-19 pneumonia,https://doi.org/10.1016/j.jvs.2020.04.483,Journal of Vascular Surgery,Prospective observational study,systemic anticoagulation with a weight-adjusted therapeutic regimen of low-molecular-weight heparin or intravenous heparin infusion,20,-,Successful revascularization was not significantly associated with the postoperative use of intravenous heparin. The use of continuous postoperative systemic heparin infusion was significantly associated with survival.,"The clinical status was defined using the Rutherford classification system. The medical comorbidity grade and operative outcomes were defined in accordance with the recommended reporting standards and best practice documents from the Society for Vascular Surgery (SVS) and European Society for Vascular Surgery. Complications were recorded as perioperative (<30 days) or late (>1 month) and classified as graft-related or procedurerelated. The complications were described as mild (spontaneous resolution or with nominal intervention, did not prolong the hospital stay, and/or did not cause permanent disability), moderate (required significant intervention, prolonged hospitalization for >24 hours, resulted in a minor amputation, or was associated with a minor disability that did not interfere with normal daily activities), or severe (necessitated a major surgical, medical, and/or endovascular intervention or resulted in prolonged convalescence, major amputation, permanent disability, or death). Major amputations were classified as transfemoral or transtibial. Minor amputations were any toe or forefoot amputation and were not considered in the analysis of freedom from amputation. Successful revascularization of the treated segment was defined as the absence of early (<30 days) reocclusion or persistent forefoot ischemia or major amputation or death within 24 hours. The primary outcomes were successful revascularization, early (<30 days) and late survival, postoperative (<30 days) complications, and limb salvage at the last clinical evaluation available at least 7 days after revascularization.",Y,5/12/2020
4,2020-04-27,"Proposal of the French Society of Vascular Medicine for the prevention, diagnosis and treatment of venous thromboembolic disease in outpatients with COVID-19",https://doi.org/10.1016/j.jdmv.2020.04.008,JMV-Journal de Médecine Vasculaire,-,Thromboprophylaxis,-,acute medical condition; outpatient,"Patients hospitalized with an acute medical condition are at risk for VTE. This risk is about 2% at 40 days after hospitalization [6]. The benefit of thromboprophylaxis for 10 ± 4 days during hospitalization for acute medical conditions was validated in the MEDENOX trial. In these cases, thromboprophylaxis for 7 to 14 days is suggested either with Low Molecular Weight Heparin (LMWH) or Fondaparinux at standard dose (e.g. Dalteparin, Enoxaparin, Fondaparinux, Tinzaparin and Nadroparin) with self-injections if possible to limit the use of a nurse at home and avoid contact.",-,-,5/23/2020
5,2020-04-24,COVID-19 Coagulopathy in Caucasian patients,https://onlinelibrary.wiley.com/doi/abs/10.1111/bjh.16749,British Journal of Haematology,Prospective observational study,Low Molecular Weight Heparin (LMWH),83,Severe,"Fibrinogen levels were significantly increased (median 4_7; range 3_0–9_9 g/l) on admission, with levels remaining persistently elevated throughout hospitalisation. No patient had a fibrinogen level <2_0 g/l at any time point. This increase in fibrinogen levels is probably due to an acute phase response, as significantly elevated C-reactive protein levels (median 56 mg/l; normal range 0–5 mg/l) were also observed (Table I). Thus, despite the fact that thrombotic risk is much higher in Caucasian patients and the significantly elevated levels of D-dimers observed, overt DIC as defined according to the International Society on Thrombosis and Haemostasis Scientific Standardization Committee DIC score was present in none of our COVID19 patients at time of admission. Nevertheless, our data confirm that severe COVID19 infection is associated with a significant coagulopathy in Caucasian patients that appears to be similar in magnitude to that previously reported in the original Chinese cohorts.",,Y,4/27/2020
6,2020-04-23,"Venous and arterial thromboembolic complications in COVID-19 patients admitted to an academic hospital in Milan, Italy",https://doi.org/10.1016/j.thromres.2020.04.024,Thrombosis Research,Retrospective observational study,Thromboprophylaxis with low-molecularweight heparin; prophylactic dosage Thromboprophylaxis; intermediate-dosage thromboprophylaxis; therapeutic-dose Thromboprophylaxis,388,A total of 61 (16%) patients required intensive care; the remaining 327 patients were admitted to general wards,"Despite the use of anticoagulant prophylaxis, the rate of venous and arterial thromboembolic complications in hospitalized COVID-19 patients was remarkable, approxmatly 8%.","Coagulation testing performed on admission in the total cohort demonstrated normal PT and APTT (Table 1). In contrast, plasma D-dimer levels were significantly increased (median 732; range 200 to 10,000 ng/ml). D-dimer levels were above the normal range in 67% of the total cohort on admission. Importantly however, despite the increased D-dimers, disseminated intravascular coagulopathy (DIC) was not evident. In particular, platelet counts were within the normal range in 83.1% with a platelet count <100 x 109/L observed in only 5 patients on admission. Fibrinogen levels were significantly increased (median 4.7; range 3.0 to 9.9 g/L) on admission, with levels remaining persistently elevated throughout hospitalisation. No patient had a fibrinogen level < 2.0 g/L at any time point. This increase in fibrinogen levels is probably due to an acute phase response, as significantly elevated C-reactive protein levels (median 56 mg/L; normal range 0-5 mg/L) were also observed. Thus, despite the fact that thrombotic risk is much higher in Caucasian patients and the significant elevated levels of D-dimers observed, overt DIC as defined according to the ISTH SSC DIC score16 was present in none of our COVID-19 patients at time of admission. Nevertheless, our data confirm that severe COVID-19 infection is associated with a significant coagulopathy in Caucasian patients that appears to be similar in magnitude to that previously reported in the original Chinese cohorts.",-,5/12/2020
7,2020-04-22,Heparin therapy improving hypoxia in COVID-19 patients - a case series,https://doi.org/10.1101/2020.04.15.20067017,MedRxiv,Case-series,Heparin,27,Severe,"Heparin decreased ventilatory support requirements. PaO2/FiO2 ratio increased significantly over the 72 hours following the start of anticoagulation, from 254(SD 90) to 325(SD 80), p=0.013, and over half of the patients were discharged home within an average time of 7.3 (SD 4.0) days. Half of mechanically ventilated patients were extubated within 10.3 (SD 1.5) days. The remaining patients showed progressive improvement and there were no bleeding complications or fatal events.","PaO2/FiO2 ratio increased significantly over the 72 hours following the start of anticoagulation, from 254(±90) to 325(±80), p=0.013, and 81% of the patients were discharged home within a mean time of 11.4 (±7.9) days. Most mechanically ventilated patients (67%) were extubated within 12.5(± 5.7) days. There were no bleeding complications or fatal events.",Y,4/26/2020
8,2020-04-22,High incidence of venous thromboembolic events in anticoagulated severe COVID-19 patients,https://doi.org/10.1111/jth.14869,Journal of Thrombosis and Hemostasis,Retrospective observational study,Prophylactic anticoagulation (drug/dose decision left to treating physician),26,ICU-level,"Nevertheless, these two studies underline the importance of venous thromboembolic events in severe COVID-19 patients. Surprisingly, we found that VTE even occur in patients treated with therapeutic anticoagulation from admission, highlighting the thrombogenicity of COVID-19. Moreover, 23% of patients were diagnosed with pulmonary embolism, pointing out the importance of considering VTE complications in COVID-19 patients. This study is limited in the small number of patients and the retrospective design of the study. However, given the systematic VTE screening strategy and the severity of the anticoagulated patients, our results support to consider routine screening of VTE in severe ICU COVID-19 patients in the pandemic context and suggest taking into consideration early therapeutic anticoagulation in this setting.",We performed a retrospective study in 2 French intensive care units (ICU) were CDU is performed as a standard of care. A CDU from thigh to ankle at selected sites with Doppler waveforms and images was performed early during ICU stay in patients admitted with COVID-19. Anticoagulation dose was left to the discretion of the treating physician based on the individual risk of thrombosis. Patients were classified as treated with prophylactic anticoagulation or therapeutic anticoagulation. Pulmonary embolism was systematically searched in patients with persistent hypoxemia or secondary deterioration.,Y,4/24/2020
9,2020-04-21,Hospital-based use of thromboprophylaxis in patients with COVID-19,https://doi.org/10.1016/,The Lancet,Expert review,Thromboprophylaxis,-,-,"It seems prudent to use thromboprophylaxis in patients with evidence of activation of the coagulation system (eg, increased D-dimer concentrations) on admission",-,-,5/12/2020
