,Date,Study,Study Link,Journal,Therapeutic method(s) utilized/assessed,Sample Size,Severity of Disease,General Outcome/Conclusion Excerpt,Primary Endpoint(s) of Study,Clinical Improvement (Y/N),Study Type,Added On
0,2020-04-25,Umifenovir treatment is not associated with improved outcomes in patients with coronavirus disease 2019: A retrospective study,https://doi.org/10.1016/j.cmi.2020.04.026,Clinical Microbiology and Infection,Umifenovir,81,Varied,"Thirty-three out of 45 (73%) patients in the umifenovir group tested negative for SARS-CoV-2 within 7 days after admission, the number was 28/36 (78%) in the control group (p 0.19). The median time from onset of symptoms to SARS-CoV-2 turning negative was 18 days (interquartile range (IQR) 12e21) in the umifenovir group and 16 days (IQR 11e21) in the control group (p 0.42). Patients in the umifenovir group had a longer hospital stay than patients in the control group (13 days (IQR 9e17) vs 11 days (IQR 9e14), p 0.04). No deaths or severe adverse reactions were found in both groups. Discussion: Umifenovir might not improve the prognosis or accelerate SARS-CoV-2 clearance in non-ICU patients. A randomized control clinical trial is needed to assess the efficacy of umifenovir.",Negative rate of pharyngeal swab for SARS-CoV-2 within 1 week after admission and duration for virus turning negative,N,Retrospective Observational Study,4/28/2020
1,2020-04-21,Alpha-1 adrenergic receptor antagonists for preventing acute respiratory distress syndrome and death from cytokine storm syndrome,https://arxiv.org/abs/2004.10117,arXiv Preprint,Alpha-1 Adrenoreceptor Antagonists,"Patients with ARDS (n=13,125); Patients with pneumonia (n= 108,956)",-,"We previously demonstrated that alpha-1 adrenergic receptor antagonists (α-blockers) can prevent cytokine storm syndrome and death in mice. Here, we conduct a retrospective analysis of patients with acute respiratory distress (n = 13,125) or pneumonia (n = 108,956) from all causes; patients who were incidentally taking α-blockers had a reduced risk of requiring ventilation (by 35% and 16%, respectively), and a reduced risk of being ventilated and dying (by 56% and 20%, respectively), compared to non-users. Beta-adrenergic receptor antagonists had no significant effects. These results highlight the urgent need for prospective trials testing whether prophylactic α-blockers improve outcomes in diseases with a prominent hyperinflammatory component such as COVID-19.",If a patient required invasive mechanical ventilation.,Y,Retrospective Observational Study,4/25/2020
2,2020-04-21,"A Randomized, Single-blind, Group sequential, Active-controlled Study to evaluate the clinical efficacy and safety of α-Lipoic acid for critically ill patients with coronavirus disease 2019 (COVID-19)",https://doi.org/10.1016/j.cmi.2020.04.026,medRxiv Preprint,α-Lipoic acid,17,Severe,"The results suggested ALA treatment might be able to improve 30-day survival rate of patients with critically ill COVID-19 and slow down the increase of SOFA score, both parameters did not reach statistical significance due to the limited patient number, but the tendency of improvement is clear to see","SOFA score, all-cause mortality up to 30 days",Y,Prospective Observational Study,4/22/2020
3,2020-04-21,Fast Identification of Possible Drug Treatment of Coronavirus Disease -19 (COVID-19) Through Computational Drug Repurposing Study.,https://doi.org/10.1021/acs.jcim.0c00179,Journal of chemical information and modeling,Computer aided drug design technique to identify potential drug candidates,-,-,"Taking the advantage of a recently released crystal structure of SARS-Cov-2 main protease in complex with a covalently-bonded inhibitor, N3,1 I conducted virtual docking screening of approved drugs and drug candidates in clinical trials. Several promising known drugs stand out as potential inhibitors of SARS-Cov-2 main protease, including Carfilzomib, Eravacycline, Valrubicin, Lopinavir and Elbasvir. Carfilzomib, an approved anti-cancer drug acting as a proteasome inhibitor, has the best MM-PBSA-WSAS binding free energy, -13.8 kcal/mol. The second-best repurposing drug candidate, eravacycline, is synthetic halogenated tetracycline class antibiotic. Streptomycin, another antibiotic and a charged molecule, also demonstrates some inhibitory effect, even though the predicted binding free energy of the charged form (-3.8 kcal/mol) is not nearly as low as that of the neutral form (-7.9 kcal/mol).",-,-,Simulation,4/22/2020
4,2020-04-15,An exploratory randomized controlled study on the efficacy and safety of lopinavir/ritonavir or arbidol treating adult patients hospitalized with mild/moderate COVID-19 (ELACOI),https://doi.org/10.1101/2020.03.19.20038984,medRxiv Preprint,Lopinavir/ritonavir (LPV/r) or arbidol monotherapy,86,Mild / moderate,"The primary endpoints, the average time of positive-to-negative conversion of SARS-CoV-2 nucleic acid and conversion rates at days 7 and 14, were similar between groups (all P>0.05). There were no differences between groups in the secondary endpoints, the rates of antipyresis, cough alleviation, or improvement of chest CT at days 7 or 14 (all P>0.05). At day 7, eight (23.5%) patients in the LPV/r group, 3 (8.6%) in the arbidol group and 2(11.8%) in the control group showed a deterioration in clinical status from moderate to severe/critical(P =0.206).; Conclusions: LPV/r or arbidol monotherapy present little benefit for improving the clinical outcome of patients hospitalized with mild/moderate COVID-19 over supportive care.","Primary endpoint: The average time of positive-to-negative conversion of SARS-CoV-2 nucleic acid and conversion rates at days 7 and 14. Secondary endpoints: the rates of antipyresis, cough alleviation, or improvement of chest CT at days 7 or 14.",N,Prospective Observational Study,4/22/2020
5,2020-04-14,Why Tocilizumab could be an effective treatment for severe COVID-19,https://doi.org/10.1186/s12967-020-02339-3,Journal of Translational Medicine,Tocilizumab,21,Severe,"Our research has identified that pathogenic T cells and inflammatory monocytes incite inflammatory storm with large amount of interleukin 6, therefore monoclonal antibody that targets the IL-6 pathways may potentially curb inflammatory storm. Moreover, Tocilizumab treatment that blocking IL-6 receptors showed inspiring clinical results including temperature returned to normal quickly and respiratory function improved. Therefore, we suggest that Tocilizumab is an effective treatment in severe patients of COVID-19 to calm the inflammatory storm and reduce mortality.","Changes in clinical manifestations - oxygen intake, CT scans, laboratory examinations",Y,Retrospective Observational Study,4/22/2020
6,2020-04-10,Efficacy of hydroxychloroquine in patients with COVID-19: results of a randomized clinical trial,https://doi.org/10.1101/2020.03.22.20040758,medRxiv Preprint,Hydroxychloroquine,62,Mild / moderate,"No difference in the age and sex distribution between the control group and the HCQ group. But for TTCR, the body temperature recovery time and the cough remission time were significantly shortened in the HCQ treatment group. Besides, a larger proportion of patients with improved pneumonia in the HCQ treatment group (80.6%, 25 of 31) compared with the control group (54.8%, 17 of 31). Notably, all 4 patients progressed to severe illness that occurred in the control group. However, there were 2 patients with mild adverse reactions in the HCQ treatment group. Significance: Among patients with COVID-19, the use of HCQ could significantly shorten TTCR and promote the absorption of pneumonia.","Time to clinical recovery (TTCR), clinical characteristics, and radiological results were assessed at baseline and 5 days after treatment to evaluate the effect of HCQ.",Y,Prospective Observational Study,4/22/2020
7,2020-04-10,Compassionate Use of Remdesivir for Patients with Severe Covid-19,https://doi.org/10.1056/NEJMoa2007016,New England Journal of Medicine,Remdesivir,53,Severe,"At baseline, 30 patients (57%) were receiving mechanical ventilation and 4 (8%) were receiving extracorporeal membrane oxygenation. During a median follow-up of 18 days, 36 patients (68%) had an improvement in oxygen-support class, including 17 of 30 patients (57%) receiving mechanical ventilation who were extubated. A total of 25 patients (47%) were discharged, and 7 patients (13%) died; mortality was 18% (6 of 34) among patients receiving invasive ventilation and 5% (1 of 19) among those not receiving invasive ventilation. CONCLUSIONS In this cohort of patients hospitalized for severe Covid-19 who were treated with compassionate-use remdesivir, clinical improvement was observed in 36 of 53 patients (68%). Measurement of efficacy will require ongoing randomized, placebo-controlled trials of remdesivir therapy. (Funded by Gilead Sciences.)","Changes in oxygen support requirements, clinical improvement (defined as: hospital discharge and/or +/- 2 points on modified ordinal scale",Y,Prospective Observational Study,4/22/2020
8,2020-04-10,A Review of SARS-CoV-2 and the Ongoing Clinical Trials. [Review],https://doi.org/10.3390/ijms21072657,International Journal of Molecular Sciences,A review of multiple potential therapeutic options,-,Varied,"Vaccines and therapeutic antibodies aimed to specifically target SARS-CoV-2 are being tested, however, this solution is more long-term, as they require thorough testing of their safety. On the other hand, drug repurposing happens to be the only practical approach as a rapid response measure to the emergent pandemic, as most of these agents have already been tested for their safety, and have demonstrated their action against other viruses, including the related SARS-CoV and MERS-CoV. These drugs target different viral infection response pathways.. and have already demonstrated promising results in the initial clinical trials... The promising examples include favipiravir... and hydroxychloroquine.",-,-,Expert Review,4/22/2020
9,2020-04-06,Use of Convalescent Plasma Therapy in Two COVID-19 Patients with Acute Respiratory Distress Syndrome in Korea.,https://doi.org/10.3346/jkms.2020.35.e149,Journal of Korean Medical Science,Convalescent Plasma,2,Severe,We describe two cases of COVID-19 treated with convalescent plasma infusion. Both patients presented severe pneumonia with acute respiratory distress syndrome and showed a favorable outcome after the use of convalescent plasma in addition to systemic corticosteroid.,-,Y,Case Series,4/22/2020
10,2020-04-04,Current Drugs with Potential for Treatment of COVID-19: A Literature Review.,https://doi.org/10.18433/jpps31002,Journal of Pharmacy & Pharmaceutical Sciences,"Literature review of 4 classes: (a) anti-viral and anti-inflammatory drugs, (b) anti-malaria drugs, (c) traditional Chinese drugs and (d) other treatments/drugs.",-,-,"The data and/or recommendations are categorized in 4 classes: (a) anti-viral and anti-inflammatory drugs, (b) anti-malaria drugs, (c) traditional Chinese drugs and (d) other treatments/drugs. Conclusion: All examined treatments, although potentiality effective against COVID-19, need either appropriate drug development or clinical trial to be suitable for clinical use.",-,-,Expert Review,4/22/2020
11,2020-03-30,No evidence of rapid antiviral clearance or clinical benefit with the combination of hydroxychloroquine and azithromycin in patients with severe COVID-19 infection,https://doi.org/10.1016/j.medmal.2020.03.006,Médecine et Maladies Infectieuses,Hydroxychloroquine and azithromycin combination,-,Severe,"In summary, despite a reported antiviral activity of chloroquine against COVID-19 in vitro, we found no evidence of a strong antiviral activity or clinical benefit of the combination of hydroxychloroquine and azithromycin for the treatment of our hospitalised patients with severe COVID-19. Ongoing randomised clinical trials with hydroxychloroquine should provide a definitive answer regarding the alleged efficacy of this combination and will assess its safety.",-,N,Expert Review,4/22/2020
12,2020-03-27,Treatment of 5 critically ill patients with COVID-19 with Convalescent Plasma,https://doi.org/10.1001/jama.2020.4783,JAMA,Convalescent Plasma,5,Severe,"In this preliminary uncontrolled case series of 5 critically ill patients with COVID-19 and ARDS, administration of convalescent plasma containing neutralizing antibody was followed by improvement in their clinical status. The limited sample size and study design preclude a definitive statement about the potential effectiveness of this treatment, and these observations require evaluation in clinical trials.",-,-,Case Series,4/22/2020
13,2020-03-26,Structural basis of SARS-CoV-2 3CLpro and anti-COVID-19 drug discovery from medicinal plants,https://doi.org/10.1016/j.jpha.2020.03.009,Journal of Pharmaceutical Analysis,Medicinal Plants,-,-,"The viral 3-chymotrypsin-like cysteine protease (3CLpro) enzyme controls coronavirus replication and is essential for its life cycle. 3CLpro is a proven drug discovery target in the case of severe acute respiratory syndrome coronavirus (SARS-CoV) and middle east respiratory syndrome coronavirus (MERS-CoV). Recent studies revealed that the genome sequence of SARS-CoV-2 is very similar to that of SARS-CoV. Therefore, herein, we analysed the 3CLpro sequence, constructed its 3D homology model, and screened it against a medicinal plant library containing 32,297 potential anti-viral phytochemicals/traditional Chinese medicinal compounds. Our analyses revealed that the top nine hits might serve as potential anti- SARS-CoV-2 lead molecules for further optimisation and drug development process to combat COVID-19.",-,-,Expert Review,4/22/2020
14,2020-03-23,The feasibility of convalescent plasma therapy in severe COVID-19 patients: a pilot study,https://doi.org/10.1101/2020.03.16.20036145,medRXIV Preprint,Convalescent Plasma (CP),10,Severe,"After CP transfusion, the level of neutralizing antibody increased rapidly up to 1:640 in five cases, while that of the other four cases maintained at a high level (1:640). The clinical symptoms were significantly improved along with increase of oxyhemoglobin saturation within 3 days. Several parameters tended to improve as compared to pre-transfusion, including increased lymphocyte counts (0.65*109/L vs. 0.76*109/L) and decreased C-reactive protein (55.98 mg/L vs. 18.13 mg/L). Radiological examinations showed varying degrees of absorption of lung lesionswithin 7 days. The viral load was undetectable after transfusion in seven patients who had previous viremia. No severe adverse effects were observed. This study showed CP therapy was welltolerated and could potentially improve the clinical outcomes through neutralizing viremia in severe COVID-19 cases. The optimal dose and time point, as well as the clinical benefit of CP therapy, needs further investigation in larger well-controlled trials.","Safety of CP infusion, improvement of clinical symptoms and laboratory parameters within 3 days after CP transfusion",Y,Prospective Observational Study,4/22/2020
15,2020-03-21,High-Dose Intravenous Immunoglobulin as a Therapeutic Option for Deteriorating Patients With Coronavirus Disease 2019,https://doi.org/10.1093/ofid/ofaa102,Open Forum Infectious Diseases,High-dose intravenous immunoglobulin (IVIg),3,Severe,"We reported on 3 patients with severe COVID-19 who received high-dose intravenous immunoglobulin (IVIg) with satisfactory recovery. Based on these observations, randomized studies of high-dose IVIg should be considered in deteriorating patients infected with COVID-19.","Fever, Respiratory Symptoms",Y,Case Series,4/22/2020
16,2020-03-20,Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial,https://doi.org/10.1016/j.ijantimicag.2020.105949,International Journal of Antimicrobial Agents,Hydroxychloroquine and azithromycin,20,Varied,"Twenty cases were treated in this study and showed a significant reduction of the viral carriage at D6-post inclusion compared to controls, and much lower average carrying duration than reported of untreated patients in the literature. Azithromycin added to hydroxychloroquine was significantly more efficient for virus elimination. Conclusion. Despite its small sample size our survey shows that hydroxychloroquine treatment is significantly associated with viral load reduction/disappearance in COVID-19 patients and its effect is reinforced by azithromycin.",-,Y,Prospective Observational Study,4/22/2020
17,2020-03-20,"Acetazolamide, Nifedipine and Phosphodiesterase Inhibitors: Rationale for Their Utilization as Adjunctive Countermeasures in the Treatment of Coronavirus Disease 2019 (COVID-19)",https://doi.org/10.7759/cureus.7343,Cureus Journal,"Acetazolamide, Nifedipine and Phosphodiesterase Inhibitors",-,-,"This review describes COVID-19 in parallel to HAPE. Deranged respiratory parameters that are present in both conditions are highlighted. The utilization of medications found to be effective in HAPE, for the treatment of COVID-19, is proposed. Given the medical emergency of a growing contagion and the thousands of lives at stake, expedient attempts to improve survival are needed. Acetazolamide, Nifedipine and Phosphodiesterase inhibitors may be potential countermeasures.",-,-,Expert Review,4/25/2020
